airport_id,airport_seq_id,city_abr
12954,1295403,LGB
11292,1129202,DEN
14771,1477102,SFO
11423,1142304,DSM
11315,1131502,DIK
11503,1150303,EGE
15016,1501603,STL
12544,1254403,USA
10397,1039705,ATL
11109,1110902,COS
12889,1288903,LAS
10372,1037203,ASE
10800,1080003,BUR
14869,1486903,SLC
14100,1410002,PHL
11122,1112203,CPR
11433,1143302,DTW
13487,1348702,MSP
13851,1385103,OKC
10529,1052904,BDL
13796,1379604,OAK
10558,1055803,BFF
13341,1334102,MKC
11233,1123302,CYS
11259,1125903,DAL
14831,1483104,SJC
10325,1032504,APA
10423,1042302,AUS
11066,1106603,CMH
14792,1479201,SGR
10466,1046602,AZA
10747,1074702,BRO
11563,1156303,ENV
11921,1192102,GJT
14576,1457604,ROC
15370,1537002,TUL
11376,1137601,DPA
14570,1457002,RNO
11719,1171902,FNL
10590,1059004,IFP
13502,1350202,MTJ
14288,1428803,PUB
11840,1184002,GAD
11193,1119302,CVG
14747,1474703,SEA
11283,1128302,DDC
11468,1146802,EAR
12899,1289902,LBF
12902,1290203,LBL
12389,1238902,ISN
13204,1320402,MCO
13930,1393004,ORD
14492,1449202,RDU
11986,1198603,GRR
11097,1109702,COD
11278,1127803,DCA
11298,1129804,DFW
12266,1226603,IAH
12441,1244102,JAC
12888,1288802,LAR
12892,1289205,LAX
12992,1299204,LIT
13264,1326403,MFR
13486,1348602,MSO
14057,1405702,PDX
14252,1425202,PSC
14679,1467903,SAN
14683,1468303,SAT
14794,1479403,SGU
14893,1489302,SMF
14908,1490803,SNA
10140,1014003,ABQ
10721,1072102,BOS
10849,1084903,BZN
12264,1226402,IAD
13198,1319801,MCI
14262,1426204,PSP
14524,1452401,RIC
14689,1468902,SBA
10994,1099402,CHS
11042,1104203,CLE
13495,1349503,MSY
14122,1412202,PIT
14635,1463502,RSW
12278,1227803,ICT
14730,1473003,SDF
12339,1233904,IND
14107,1410702,PHX
15304,1530402,TPA
15412,1541203,TYS
13244,1324402,MEM
11413,1141304,DRO
14877,1487704,SLN
11638,1163805,FAT
12003,1200302,GTF
15919,1591902,XNA
11603,1160302,EUG
11618,1161802,EWR
11884,1188402,GEG
15376,1537602,TUS
10713,1071302,BOI
13485,1348502,MSN
13367,1336703,MLI
10279,1027903,AMA
12896,1289605,LBB
13891,1389101,ONT
14457,1445702,RAP
10821,1082104,BWI
11057,1105703,CLT
10257,1025702,ALB
13871,1387102,OMA
13931,1393102,ORF
10599,1059904,BHM
11003,1100303,CID
10620,1062002,BIL
14814,1481402,SHV
14783,1478302,SGF
11648,1164802,FCA
12982,1298202,LIH
13342,1334205,MKE
11540,1154003,ELP
11697,1169704,FLL
10693,1069302,BNA
12191,1219102,HOU
13433,1343302,MOT
13964,1396403,OTH
14489,1448902,RDM
12451,1245102,JAX
10561,1056103,BFL
14193,1419304,PNS
11775,1177502,FSD
12012,1201203,GUC
12094,1209402,HDN
10643,1064301,BKG
15177,1517702,TEX
10950,1095002,CEZ
12478,1247803,JFK
12953,1295302,LGA
11995,1199502,GSO
14512,1451202,RFD
10194,1019403,AFW
11267,1126702,DAY
11711,1171102,FMN
11447,1144703,DVL
13029,1302902,LNK
10627,1062702,BIS
14698,1469802,SBP
13158,1315803,MAF
12758,1275803,KOA
13830,1383002,OGG
10272,1027203,ALS
13303,1330303,MIA
12156,1215603,HLN
12519,1251902,JMS
12173,1217302,HNL
12217,1221702,HSV
11637,1163703,FAR
14534,1453402,RIW
10299,1029904,ANC
14120,1412002,PIR
12255,1225502,HYS
10221,1022103,AIA
10925,1092502,CDR
13200,1320002,MCK
15582,1558202,VEL
11865,1186502,GCC
14543,1454302,RKS
11092,1109202,CNY
14674,1467402,SAF
12280,1228002,IDA
13232,1323202,MDW
11996,1199603,GSP
15570,1557001,VCV
16091,1609103,YIP
12448,1244805,JAN
10792,1079204,BUF
11140,1114006,CRP
11481,1148102,ECP
11973,1197302,GPT
14275,1427502,PTK
14081,1408102,PGA
10409,1040903,ATY
15041,1504102,SUN
12891,1289102,LAW
10559,1055902,BFI
